,Transaction ID,Date,value_date,narration,ref_no,mode,merchant_category,repeat_transaction_category,transaction amount  - Debit,transaction amount   - Credit,balance
14,14,16-01-18,16-01-18,ATM WDL-ATM CASH 80161 B825 C A KALYANI NADIA NADIA--,,ATM Withdrawl,CASH Withdrawl,--UNIQUE TRANSACTION-- ,-400,0,"5,160.65"
15,15,16-01-18,16-01-18,BY TRANSFER-INB Refund of IGACRPDYD1--,0518010203797261IXGAGGZFB2               TRANSFER,INTERNET BANKING,INCOME,--UNIQUE TRANSACTION-- ,0,346.18,"5,506.83"
16,16,17-01-18,17-01-18,BULK POSTING-     00000014528 100118 CHAMPIAN HUB--,,EFT,INCOME,--UNIQUE TRANSACTION-- ,0,0.75,"5,507.58"
17,17,25-01-18,25-01-18,TO TRANSFER-UPI/802512286191/MYNTRA@ybl--,TRANSFER TO 4898284162090,UPI,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-706.8,0,"4,800.78"
18,18,25-01-18,25-01-18,BY TRANSFER-INB Myntra Jeans Aayush--,ITP9247886               TRANSFER FROM 34619729916,INTERNET BANKING,SHOPPING,--UNIQUE TRANSACTION-- ,0,700,"5,500.78"
19,19,28-01-18,28-01-18,BY TRANSFER-INB Kalyani Expenditure--,ITP9490105               TRANSFER FROM 34619729916,INTERNET BANKING,INCOME,--UNIQUE TRANSACTION-- ,0,500,"6,000.78"
20,20,28-01-18,28-01-18,TO TRANSFER-UPI/802834824589/8334827095@ybl--,TRANSFER TO 4897685162093,UPI,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-500,0,"5,500.78"
21,21,29-01-18,29-01-18,TO TRANSFER-INB Mummy Bday and Anni--,ITP9516213               TRANSFER TO 34619729916,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-500,0,"5,000.78"
22,22,30-01-18,30-01-18,by debit card-OTHPOS803014290736KOOKIE JAR FOODS      KOLKATTA--,,Debit Card,FOOD,--UNIQUE TRANSACTION-- ,-250,0,"4,750.78"
23,23,31-01-18,31-01-18,by debit card-SBIPG LU6015350436AMAZON                MUMBAI--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-470,0,"4,280.78"
24,24,31-01-18,31-01-18,by debit card-OTHPG 803110092417FREECHARGE            MUMBAI--,,Debit Card,E-WALLET,--UNIQUE TRANSACTION-- ,-170,0,"4,110.78"
25,25,01-02-18,01-02-18,by debit card-OTHPG 803203677779FREECHARGE            MUMBAI--,,Debit Card,E-WALLET,--UNIQUE TRANSACTION-- ,-265,0,"3,845.78"
26,26,01-02-18,01-02-18,BY TRANSFER-INB Mummy Anni Expense Clear--,ITQ0068564               TRANSFER FROM 34619729916,INTERNET BANKING,INCOME,--UNIQUE TRANSACTION-- ,0,300,"4,145.78"
27,27,12-02-18,12-02-18,ATM WDL-ATM CASH 80431 B825 C A KALYANI NADIA NADIA--,,ATM Withdrawl,CASH Withdrawl,--UNIQUE TRANSACTION-- ,-500,0,"3,645.78"
28,28,13-02-18,13-02-18,TO TRANSFER-INB Times of Money Limited--,1070208634362469IGACXERNI8               TRANSFER,INTERNET BANKING,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-14.16,0,"3,631.62"
29,29,16-02-18,16-02-18,TO TRANSFER-INB Pisces eservices Pvt. Ltd--,6765467395IGACXVQET8               TRANSFER TO 459,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-32,0,"3,599.62"
30,30,18-02-18,18-02-18,by debit card-OTHPG 804907783788UBER INDIA SYSTEMS PVTNEW DELHI--,,Debit Card,TRAVEL,--UNIQUE TRANSACTION-- ,-99.52,0,"3,500.10"
31,31,19-02-18,19-02-18,TO TRANSFER-INB Pisces eservices Pvt. Ltd--,6772160021IGACYHJWJ2               TRANSFER TO 459,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-107.1,0,"3,393.00"
32,32,20-02-18,20-02-18,ATM WDL-ATM CASH 7282  +SBI TERMINUS BLDG BRANORTH TWENTY--,,ATM Withdrawl,CASH Withdrawl,--UNIQUE TRANSACTION-- ,-500,0,"2,893.00"
33,33,20-02-18,20-02-18,DEBIT- ATM ANNUAL FEE  2017-18 - 4786790000783777--,,ACH,BANK DEBIT- Annual Charges,--UNIQUE TRANSACTION-- ,-206.5,0,"2,686.50"
34,34,25-02-18,25-02-18,by debit card-OTHPG 805606914620IDEAMONEY             MUMBAI--,,Debit Card,TELEPHONE,--UNIQUE TRANSACTION-- ,-509,0,"2,177.50"
35,35,25-02-18,25-02-18,by debit card-SBIPG LU6086388074AMAZON                MUMBAI--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-23.6,0,"2,153.90"
36,36,03-03-18,03-03-18,by debit card-OTHPOS806209555511THE INDIA TRADING COMPKOLKATA--,,Debit Card,Others,--UNIQUE TRANSACTION-- ,-300,0,"1,853.90"
37,37,03-03-18,03-03-18,by debit card-OTHPOS806211222048CENTRAL               KOLKATA--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-149,0,"1,704.90"
38,38,03-03-18,03-03-18,CSH DEP (CDM)-CDM 040106TERMINUS BUILDING BRANGOPALPUR     WB IN--,,CASH,INCOME,--UNIQUE TRANSACTION-- ,0,6200,"7,904.90"
39,39,04-03-18,04-03-18,TO TRANSFER-INB Min Balance Maintain 1000--,ITQ3811545               TRANSFER TO 34619729916,INTERNET BANKING,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-1200,0,"6,704.90"
40,40,05-03-18,05-03-18,TO TRANSFER-INB Rent March Electricty Feb---,ITQ3812515               TRANSFER TO 30202617545,INTERNET BANKING,RENT,--UNIQUE TRANSACTION-- ,-2752,0,"3,952.90"
41,41,05-03-18,05-03-18,by debit card-OTHPG 806417410043FREECHARGE            MUMBAI--,,Debit Card,E-WALLET,--UNIQUE TRANSACTION-- ,-6.5,0,"3,946.40"
42,42,05-03-18,05-03-18,by debit card-OTHPG 806417412350FREECHARGE            MUMBAI--,,Debit Card,E-WALLET,--UNIQUE TRANSACTION-- ,-51,0,"3,895.40"
43,43,06-03-18,06-03-18,TO TRANSFER-UPI/806568293660/8334827095@ybl--,TRANSFER TO 4897664162098,UPI,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-500,0,"3,395.40"
44,44,16-03-18,16-03-18,by debit card-OTHPG 807516041747Recharge ccavenue     Mumbai--,,Debit Card,TELEPHONE,--UNIQUE TRANSACTION-- ,-109,0,"3,286.40"
45,45,18-03-18,18-03-18,by debit card-SBIPG LU6142068862AMAZON                MUMBAI--,,Debit Card,SHOPPING,--UNIQUE TRANSACTION-- ,-349,0,"2,937.40"
46,46,18-03-18,18-03-18,BY TRANSFER- SBIPG 180318894520AMAZON                MUMBAI--,TRANSFER FROM 2399465042921,EFT,INCOME,--UNIQUE TRANSACTION-- ,0,349,"3,286.40"
47,47,18-03-18,18-03-18,TO TRANSFER-INB Zomato Media Private Limi--,051803023397185IGADDHCFC2               TRANSFER T,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-89,0,"3,197.40"
48,48,20-03-18,20-03-18,TO TRANSFER-INB Mummy Expense Return--,ITQ5804216               TRANSFER TO 34619729916,INTERNET BANKING,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-300,0,"2,897.40"
49,49,22-03-18,22-03-18,BY TRANSFER-UPI/808106441449/8334827095@ybl--,TRANSFER FROM 4898970162090,UPI,INCOME,--UNIQUE TRANSACTION-- ,0,1000,"3,897.40"
50,50,24-03-18,24-03-18,TO TRANSFER-INB Zomato Media Private Limi--,051803023717616IGADELIDX4               TRANSFER T,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-108.62,0,"3,788.78"
51,51,25-03-18,25-03-18,TO TRANSFER-INB FUTURE RETAIL LIMITED--,6856330791IGADENNIP6               TRANSFER TO 459,INTERNET BANKING,GROCERY,--UNIQUE TRANSACTION-- ,-100,0,"3,688.78"
52,52,25-03-18,25-03-18,CREDIT INTEREST---,,ACH,INCOME,--UNIQUE TRANSACTION-- ,0,33,"3,721.78"
53,53,27-Mar-18,27-Mar-18,TO TRANSFER-UPI/808619625489/8334827095@ybl--,TRANSFER TO 4897663162099,UPI,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-50,0,"3,671.78"
54,54,29-Mar-18,29-Mar-18,TO TRANSFER-UPI/808800845798/8334827095@ybl--,TRANSFER TO 4898856162091,UPI,INTERNET Transfers,--UNIQUE TRANSACTION-- ,-13,0,"3,658.78"
55,55,31-Mar-18,31-Mar-18,by debit card-OTHPOS809011168426BALARAM MULLICK       KOLKATTA--,,Debit Card,FOOD,--UNIQUE TRANSACTION-- ,-126,0,"3,532.78"
56,56,31-Mar-18,31-Mar-18,by debit card-OTHPG 809014271917ONE97 COMMUNICATIONS LNOIDA--,,Debit Card,E-WALLET,--UNIQUE TRANSACTION-- ,-117,0,"3,415.78"
57,57,31-Mar-18,31-Mar-18,BY TRANSFER-INB IMPS809019461109/8334827095/XX1066/PD327578-1--,MAB000103124815          MAB000103124815,IMPS,INCOME,--UNIQUE TRANSACTION-- ,0,1,"3,416.78"
58,58,31-Mar-18,31-Mar-18,BY TRANSFER-INB IMPS809019461146/8334827095/XX1066/DG327578-1--,MAB000103124825          MAB000103124825,IMPS,INCOME,--UNIQUE TRANSACTION-- ,0,189.9,"3,606.68"
59,59,31-Mar-18,31-Mar-18,TO TRANSFER-INB Zomato Media Pvt. Ltd--,6873600723IGADGCSQU3               TRANSFER TO 459,INTERNET BANKING,FOOD,--UNIQUE TRANSACTION-- ,-107.26,0,"3,499.42"
